(
	SELECT
		title,
		category.name AS category_name,
		SUM(payment.amount) AS total_earnings,
		SUM(payment.amount) / COUNT(DISTINCT rental.rental_id) AS avg_payment
	FROM
		film
		JOIN film_category ON film.film_id = film_category.film_id
		JOIN category ON film_category.category_id = category.category_id
		JOIN inventory ON film.film_id = inventory.film_id
		JOIN rental ON inventory.inventory_id = rental.inventory_id
		JOIN payment ON rental.rental_id = payment.rental_id
	GROUP BY
		film.film_id,
		category.category_id
)
UNION ALL 
(
	SELECT
		'Category Pricings' AS title,
		category.name AS category_name,
		SUM(payment.amount) AS total_earnings,
		SUM(payment.amount) / COUNT(DISTINCT rental.rental_id) AS avg_payment
	FROM
		category
		JOIN film_category ON category.category_id = film_category.category_id
		JOIN film ON film_category.film_id = film.film_id
		JOIN inventory ON film.film_id = inventory.film_id
		JOIN rental ON inventory.inventory_id = rental.inventory_id
		JOIN payment ON rental.rental_id = payment.rental_id
	GROUP BY
		category.category_id
)
ORDER BY
	total_earnings DESC,
	category_name ASC,
	title ASC
            title            | category_name | total_earnings |      avg_payment       
-----------------------------+---------------+----------------+------------------------
 Category Pricings           | Sports        |        5314.21 |     4.5073876166242578
 Category Pricings           | Sci-Fi        |        4756.98 |     4.3205994550408719
 Category Pricings           | Animation     |        4656.30 |     3.9933962264150943
 Category Pricings           | Drama         |        4587.39 |     4.3277264150943396
 Category Pricings           | Comedy        |        4383.58 |     4.6584272051009564
 Category Pricings           | Action        |        4375.85 |     3.9351169064748201
 Category Pricings           | New           |        4361.57 |     4.6399680851063830
 Category Pricings           | Games         |        4281.33 |     4.4182972136222910
 Category Pricings           | Foreign       |        4270.67 |     4.1342400774443369
 Category Pricings           | Family        |        4226.07 |     3.8559032846715328
 Category Pricings           | Documentary   |        4217.52 |     4.0166857142857143
 Category Pricings           | Horror        |        3722.54 |     4.4001654846335697
 Category Pricings           | Children      |        3655.55 |     3.8683068783068783
 Category Pricings           | Classics      |        3639.59 |     3.8760276890308839
 Category Pricings           | Travel        |        3549.64 |     4.2409080047789725
 Category Pricings           | Music         |        3417.72 |     4.1177349397590361
 TELEGRAPH VOYAGE            | Music         |         231.73 |     8.5825925925925926
 WIFE TURN                   | Documentary   |         223.69 |     7.2158064516129032
 ZORRO ARK                   | Comedy        |         214.69 |     6.9254838709677419
 GOODFELLAS SALUTE           | Sci-Fi        |         209.69 |     6.7641935483870968
 SATURDAY LAMBS              | Sports        |         204.72 |     7.3114285714285714
 TITANS JERK                 | Sci-Fi        |         201.71 |     6.9555172413793103
 TORQUE BOUND                | Drama         |         198.72 |     7.3600000000000000
 HARRY IDAHO                 | Drama         |         195.70 |     6.5233333333333333
 INNOCENT USUAL              | Foreign       |         191.74 |     7.3746153846153846
 HUSTLER PARTY               | Comedy        |         190.78 |     8.6718181818181818
 PELICAN COMFORTS            | Documentary   |         188.74 |     7.2592307692307692
 CAT CONEHEADS               | Comedy        |         181.70 |     6.0566666666666667
 ENEMY ODDS                  | Music         |         180.71 |     6.2313793103448276
 BUCKET BROTHERHOOD          | Travel        |         180.66 |     5.3135294117647059
 RANGE MOONWALKER            | Family        |         179.73 |     6.6566666666666667
 MASSACRE USUAL              | Games         |         179.70 |     5.9900000000000000
 VIDEOTAPE ARSENIC           | Games         |         178.71 |     6.1624137931034483
 DOGMA FAMILY                | Animation     |         178.70 |     5.9566666666666667
 APACHE DIVINE               | Family        |         178.69 |     5.7641935483870968
 VELVET TERMINATOR           | Comedy        |         177.74 |     6.8361538461538462
 DORADO NOTTING              | Music         |         176.73 |     6.5455555555555556
 FOOL MOCKINGBIRD            | Action        |         175.77 |     7.6421739130434783
 WITCHES PANIC               | Drama         |         173.70 |     5.7900000000000000
 CLOSER BANG                 | Comedy        |         172.72 |     6.1685714285714286
 SCALAWAG DUCK               | Music         |         172.68 |     5.3962500000000000
 ROSES TREASURE              | Sports        |         171.72 |     6.1328571428571429
 SUNRISE LEAGUE              | Animation     |         170.76 |     7.1150000000000000
 SHOW LORD                   | Documentary   |         170.75 |     6.8300000000000000
 NIGHTMARE CHILL             | Games         |         169.75 |     6.7900000000000000
 SCORPION APOLLO             | Drama         |         168.77 |     7.3378260869565217
 AMERICAN CIRCUS             | Action        |         167.78 |     7.6263636363636364
 CONFIDENTIAL INTERVIEW      | Music         |         164.71 |     5.6796551724137931
 MAIDEN HOME                 | New           |         163.76 |     6.8233333333333333
 SEATTLE EXPECATIONS         | Drama         |         163.75 |     6.8229166666666667
 WORKING MICROCOSMOS         | Travel        |         163.75 |     6.5500000000000000
 BOOGIE AMELIE               | Music         |         163.70 |     5.6448275862068966
 STING PERSONAL              | New           |         159.79 |     7.6090476190476190
 LOLA AGENT                  | Horror        |         159.76 |     6.6566666666666667
 BACKLASH UNDEFEATED         | Children      |         158.81 |     8.3584210526315789
 MIDSUMMER GROUNDHOG         | Documentary   |         156.78 |     7.1263636363636364
 TITANIC BOONDOCK            | Animation     |         154.77 |     6.7291304347826087
 STAGECOACH ARMAGEDDON       | Action        |         154.74 |     5.9515384615384615
 MINE TITANS                 | New           |         153.81 |     8.0952631578947368
 PITY BOUND                  | Drama         |         153.74 |     5.9130769230769231
 SECRETS PARADISE            | Family        |         152.80 |     7.6400000000000000
 HEAD STRANGER               | Games         |         152.78 |     6.9445454545454545
 EAGLES PANKY                | New           |         152.78 |     6.9445454545454545
 WHISPERER GIANT             | Sci-Fi        |         151.78 |     6.8990909090909091
 EASY GLADIATOR              | Action        |         150.77 |     6.5552173913043478
 MINDS TRUMAN                | Action        |         149.80 |     7.4900000000000000
 FELLOWSHIP AUTUMN           | Travel        |         149.74 |     5.7592307692307692
 WONDERLAND CHRISTMAS        | Sci-Fi        |         148.78 |     6.7627272727272727
 STREETCAR INTENTIONS        | Horror        |         148.75 |     5.9500000000000000
 KISSING DOLLS               | Action        |         147.80 |     7.3900000000000000
 SUIT WALLS                  | Games         |         147.79 |     7.0376190476190476
 TRADING PINOCCHIO           | Sports        |         147.75 |     5.9100000000000000
 LIES TREATMENT              | Drama         |         147.73 |     5.4714814814814815
 ATTRACTION NEWTON           | New           |         146.76 |     6.1150000000000000
 FORRESTER COMANCHEROS       | Animation     |         146.73 |     5.4344444444444444
 MOVIE SHAKESPEARE           | Family        |         145.74 |     5.3977777777777778
 TRIP NEWTON                 | Action        |         145.72 |     5.2042857142857143
 GARDEN ISLAND               | Sci-Fi        |         144.80 |     7.2400000000000000
 DURHAM PANKY                | Sports        |         144.74 |     5.5669230769230769
 PRINCESS GIANT              | Documentary   |         142.74 |     5.2866666666666667
 CALENDAR GUNFIGHT           | Foreign       |         141.79 |     6.7519047619047619
 MOONSHINE CABIN             | Games         |         141.79 |     6.7519047619047619
 TOURIST PELICAN             | Sports        |         141.78 |     6.4445454545454545
 STEEL SANTA                 | Classics      |         141.77 |     6.1639130434782609
 DRIFTER COMMANDMENTS        | Action        |         141.76 |     5.9066666666666667
 CHANCE RESURRECTION         | Sports        |         141.73 |     5.2492592592592593
 FLAMINGOS CONNECTICUT       | New           |         139.77 |     6.0769565217391304
 FIDELITY DEVIL              | Horror        |         138.79 |     6.6090476190476190
 CENTER DINOSAUR             | Classics      |         137.76 |     5.7400000000000000
 COMA HEAD                   | Travel        |         137.74 |     5.2976923076923077
 QUEEN LUKE                  | Drama         |         136.78 |     6.2172727272727273
 NAME DETECTIVE              | Games         |         136.77 |     5.9465217391304348
 CONEHEADS SMOOCHY           | Drama         |         136.75 |     5.4700000000000000
 PULP BEVERLY                | Horror        |         136.70 |     4.5566666666666667
 GLEAMING JAWBREAKER         | Sports        |         136.70 |     4.7137931034482759
 YENTL IDAHO                 | Horror        |         135.77 |     5.9030434782608696
 FLINTSTONES HAPPINESS       | Comedy        |         134.83 |     7.9311764705882353
 WHALE BIKINI                | Foreign       |         134.82 |     7.4900000000000000
 HUNCHBACK IMPOSSIBLE        | Drama         |         134.80 |     6.7400000000000000
 DETAILS PACKER              | Games         |         133.81 |     7.0426315789473684
 PINOCCHIO SIMON             | Comedy        |         133.80 |     6.6900000000000000
 SUSPECTS QUILLS             | Action        |         133.70 |     4.4566666666666667
 NETWORK PEAK                | Family        |         133.69 |     4.3125806451612903
